Sample,Signal_Strength,Cell_Type
SV40,50.41204819277108,293T
SV40,55.1171974522293,293T
SV40,54.47898089171974,293T
SV40,48.82232346241458,293T
SV40,71.80442804428044,293T
SV40,77.77518427518427,293T
Enhancer1,54.828947368421055,293T
Enhancer1,77.14666666666666,293T
Enhancer1,66.8158844765343,293T
Enhancer1,60.00366300366301,293T
Enhancer1,67.0,293T
Enhancer1,68.26229508196721,293T
Enhancer2,24.669475655430713,293T
Enhancer2,40.66847826086956,293T
Enhancer2,27.198568872987476,293T
Enhancer2,31.76595744680851,293T
Enhancer2,22.881666666666668,293T
Enhancer2,30.01883408071749,293T
Enhancer3,15.56629213483146,293T
Enhancer3,18.892086330935253,293T
Enhancer3,20.38812785388128,293T
Enhancer3,29.653206650831354,293T
Enhancer3,30.24778761061947,293T
Enhancer3,29.822269807280513,293T
Enhancer4,29.007987220447284,293T
Enhancer4,31.299703264094955,293T
Enhancer4,32.64150943396226,293T
Enhancer4,27.980495123780944,293T
Enhancer4,31.05758426966292,293T
Enhancer4,34.91367959034382,293T
Enhancer5,26.302567661346288,293T
Enhancer5,31.7553118574366,293T
Enhancer5,32.28972602739726,293T
Enhancer5,24.47383512544803,293T
Enhancer5,28.147796610169493,293T
Enhancer5,29.694251421351865,293T
Enhancer6,29.45472972972973,293T
Enhancer6,28.135280553420447,293T
Enhancer6,31.520029133284776,293T
Enhancer6,21.229423201555413,293T
Enhancer6,28.146148782093483,293T
Enhancer6,42.712944332662644,293T
PGL-pro,21.82764098490866,293T
PGL-pro,13.913669064748202,293T
PGL-pro,18.86230769230769,293T
PGL-pro,18.70899854862119,293T
PGL-pro,19.92528735632184,293T
PGL-pro,23.165810711665443,293T
Inhibitor1,11.773320895522389,293T
Inhibitor1,14.333630686886709,293T
Inhibitor1,13.89179104477612,293T
Inhibitor1,12.215756490599821,293T
Inhibitor1,11.394626364399665,293T
Inhibitor1,11.913618677042802,293T
Inhibitor2,10.742393509127789,293T
Inhibitor2,9.056833558863328,293T
Inhibitor2,9.432082794307892,293T
Inhibitor2,11.640490797546013,293T
Inhibitor2,9.730560578661844,293T
Inhibitor2,12.871990604815032,293T
